IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
18.216.55.100,443,TRUE,ORD,North America,Chicago,247 ms,2063 kB/s
99.83.209.185,443,TRUE,IAD,North America,Ashburn,169 ms,2022 kB/s
13.42.76.114,8443,TRUE,LHR,Europe,London,196 ms,1931 kB/s
3.70.43.224,2053,TRUE,FRA,Europe,Frankfurt,182 ms,1910 kB/s
15.228.157.181,443,TRUE,GRU,South America,S?o Paulo,371 ms,1711 kB/s
3.144.191.4,443,TRUE,ORD,North America,Chicago,236 ms,1624 kB/s
15.236.95.165,8443,TRUE,CDG,Europe,Paris,191 ms,1593 kB/s
54.233.182.187,443,TRUE,GIG,South America,Rio de Janeiro,348 ms,1571 kB/s
15.156.194.152,8443,TRUE,YUL,North America,Montréal,249 ms,1452 kB/s
13.43.93.40,2053,TRUE,LHR,Europe,London,201 ms,1365 kB/s
13.36.240.146,443,TRUE,CDG,Europe,Paris,188 ms,1292 kB/s
54.249.173.119,443,TRUE,NRT,Asia Pacific,Tokyo,75 ms,982 kB/s
52.74.101.26,443,TRUE,SIN,Asia Pacific,Singapore,91 ms,683 kB/s
13.53.59.11,2053,TRUE,ARN,Europe,Stockholm,213 ms,531 kB/s
52.213.11.150,443,TRUE,DUB,Europe,Dublin,211 ms,432 kB/s
18.169.172.216,443,TRUE,LHR,Europe,London,196 ms,239 kB/s
54.200.244.93,443,TRUE,SEA,North America,Seattle,213 ms,166 kB/s
18.191.89.80,2053,TRUE,ORD,North America,Chicago,252 ms,86 kB/s
52.9.112.189,443,TRUE,SJC,North America,San Jose,189 ms,0 kB/s
3.18.225.231,443,TRUE,ORD,North America,Chicago,233 ms,0 kB/s
13.124.81.29,443,TRUE,ICN,Asia Pacific,Seoul,101 ms,0 kB/s
13.40.128.14,8443,TRUE,LHR,Europe,London,203 ms,0 kB/s
20.185.28.234,44056,TRUE,IAD,North America,Ashburn,226 ms,6146 kB/s
20.220.204.217,443,TRUE,YYZ,North America,Toronto,236 ms,5046 kB/s
172.190.150.25,8443,TRUE,IAD,North America,Ashburn,282 ms,3489 kB/s
20.151.142.151,8443,TRUE,YYZ,North America,Toronto,268 ms,3343 kB/s
51.107.13.85,8443,TRUE,MXP,Europe,Milan,290 ms,2888 kB/s
52.151.81.2,2083,TRUE,LHR,Europe,London,282 ms,2537 kB/s
20.251.168.45,2087,TRUE,CPH,Europe,Copenhagen,304 ms,1897 kB/s
138.91.123.230,34237,TRUE,IAD,North America,Ashburn,270 ms,1497 kB/s
51.120.240.115,2087,TRUE,CPH,Europe,Copenhagen,301 ms,1356 kB/s
20.62.202.159,443,TRUE,IAD,North America,Ashburn,275 ms,1321 kB/s
20.240.254.247,8443,TRUE,ARN,Europe,Stockholm,337 ms,1161 kB/s
20.170.41.153,443,TRUE,FRA,Europe,Frankfurt,278 ms,1096 kB/s
51.120.240.115,8080,TRUE,CPH,Europe,Copenhagen,305 ms,272 kB/s
52.137.60.154,443,TRUE,AMS,Europe,Amsterdam,305 ms,51 kB/s
4.255.56.137,443,TRUE,IAD,North America,Ashburn,278 ms,0 kB/s
140.238.19.2,443,FALSE,NRT,Asia Pacific,Tokyo,71 ms,4096 kB/s
168.138.47.238,8443,FALSE,KIX,Asia Pacific,Osaka,236 ms,3882 kB/s
140.83.57.116,8443,FALSE,KIX,Asia Pacific,Osaka,220 ms,2791 kB/s
146.56.133.140,2083,FALSE,NRT,Asia Pacific,Tokyo,74 ms,2280 kB/s
130.162.61.18,80,FALSE,FRA,Europe,Frankfurt,276 ms,245 kB/s
138.3.253.140,8080,FALSE,FRA,Europe,Frankfurt,253 ms,76 kB/s
193.123.233.143,2096,FALSE,NRT,Asia Pacific,Tokyo,59 ms,0 kB/s
47.76.159.146,2053,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,17517 kB/s
47.243.42.219,2053,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,14154 kB/s
47.76.204.76,2053,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,10125 kB/s
47.236.144.208,2096,TRUE,SIN,Asia Pacific,Singapore,248 ms,7672 kB/s
8.219.50.180,2083,TRUE,SIN,Asia Pacific,Singapore,221 ms,7478 kB/s
47.76.94.15,2087,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,7407 kB/s
47.76.159.146,2087,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,7264 kB/s
47.76.159.146,2096,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,7193 kB/s
8.219.0.162,2083,TRUE,SIN,Asia Pacific,Singapore,217 ms,6856 kB/s
47.237.81.112,8443,TRUE,SIN,Asia Pacific,Singapore,237 ms,6669 kB/s
47.237.14.220,2087,TRUE,SIN,Asia Pacific,Singapore,224 ms,6641 kB/s
47.236.104.11,2083,TRUE,SIN,Asia Pacific,Singapore,243 ms,6577 kB/s
47.237.92.26,2053,TRUE,SIN,Asia Pacific,Singapore,231 ms,6514 kB/s
47.236.171.205,2096,TRUE,SIN,Asia Pacific,Singapore,235 ms,6451 kB/s
47.236.205.188,2053,TRUE,SIN,Asia Pacific,Singapore,223 ms,6418 kB/s
47.76.204.76,2083,TRUE,HKG,Asia Pacific,Hong Kong,67 ms,6353 kB/s
47.236.166.131,2087,TRUE,SIN,Asia Pacific,Singapore,245 ms,6335 kB/s
47.237.95.140,2087,TRUE,SIN,Asia Pacific,Singapore,252 ms,6305 kB/s
47.236.149.107,2087,TRUE,SIN,Asia Pacific,Singapore,237 ms,6276 kB/s
47.236.169.164,2083,TRUE,SIN,Asia Pacific,Singapore,232 ms,6168 kB/s
47.243.42.219,2083,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,6140 kB/s
47.236.168.17,2053,TRUE,SIN,Asia Pacific,Singapore,223 ms,6098 kB/s
47.237.95.156,2053,TRUE,SIN,Asia Pacific,Singapore,233 ms,6024 kB/s
47.237.95.146,2053,TRUE,SIN,Asia Pacific,Singapore,247 ms,5969 kB/s
47.236.9.152,2083,TRUE,SIN,Asia Pacific,Singapore,232 ms,5932 kB/s
47.236.17.193,2087,TRUE,SIN,Asia Pacific,Singapore,222 ms,5916 kB/s
47.236.169.15,2087,TRUE,SIN,Asia Pacific,Singapore,241 ms,5907 kB/s
47.236.158.158,2083,TRUE,SIN,Asia Pacific,Singapore,218 ms,5839 kB/s
47.236.202.91,8443,TRUE,SIN,Asia Pacific,Singapore,233 ms,5772 kB/s
47.237.11.182,2053,TRUE,SIN,Asia Pacific,Singapore,227 ms,5757 kB/s
47.237.82.15,8443,TRUE,SIN,Asia Pacific,Singapore,231 ms,5732 kB/s
47.237.83.20,2053,TRUE,SIN,Asia Pacific,Singapore,230 ms,5725 kB/s
47.237.83.20,2096,TRUE,SIN,Asia Pacific,Singapore,249 ms,5709 kB/s
47.236.180.51,2096,TRUE,SIN,Asia Pacific,Singapore,227 ms,5681 kB/s
47.236.205.188,2083,TRUE,SIN,Asia Pacific,Singapore,240 ms,5641 kB/s
47.236.97.90,2083,TRUE,SIN,Asia Pacific,Singapore,237 ms,5640 kB/s
47.236.237.90,2053,TRUE,SIN,Asia Pacific,Singapore,226 ms,5631 kB/s
8.219.103.65,8443,TRUE,SIN,Asia Pacific,Singapore,223 ms,5581 kB/s
47.237.84.173,2083,TRUE,SIN,Asia Pacific,Singapore,241 ms,5576 kB/s
47.236.97.90,8443,TRUE,SIN,Asia Pacific,Singapore,258 ms,5538 kB/s
47.236.75.113,2083,TRUE,SIN,Asia Pacific,Singapore,245 ms,5521 kB/s
47.237.95.13,2087,TRUE,SIN,Asia Pacific,Singapore,216 ms,5519 kB/s
47.236.144.208,2087,TRUE,SIN,Asia Pacific,Singapore,237 ms,5484 kB/s
47.237.95.146,2096,TRUE,SIN,Asia Pacific,Singapore,230 ms,5480 kB/s
47.236.167.231,2083,TRUE,SIN,Asia Pacific,Singapore,217 ms,5456 kB/s
47.237.95.140,2083,TRUE,SIN,Asia Pacific,Singapore,221 ms,5429 kB/s
47.236.144.208,2053,TRUE,SIN,Asia Pacific,Singapore,228 ms,5384 kB/s
47.237.95.146,2087,TRUE,SIN,Asia Pacific,Singapore,222 ms,5383 kB/s
47.237.94.140,2053,TRUE,SIN,Asia Pacific,Singapore,241 ms,5380 kB/s
47.236.180.51,2087,TRUE,SIN,Asia Pacific,Singapore,219 ms,5378 kB/s
47.236.254.120,2053,TRUE,SIN,Asia Pacific,Singapore,235 ms,5314 kB/s
47.236.87.246,8443,TRUE,SIN,Asia Pacific,Singapore,222 ms,5291 kB/s
47.236.144.156,2087,TRUE,SIN,Asia Pacific,Singapore,238 ms,5285 kB/s
47.236.9.152,2053,TRUE,SIN,Asia Pacific,Singapore,240 ms,5284 kB/s
47.236.158.158,2096,TRUE,SIN,Asia Pacific,Singapore,257 ms,5253 kB/s
8.219.103.65,2096,TRUE,SIN,Asia Pacific,Singapore,224 ms,5237 kB/s
47.237.95.140,2096,TRUE,SIN,Asia Pacific,Singapore,247 ms,5193 kB/s
47.237.0.31,2096,TRUE,SIN,Asia Pacific,Singapore,221 ms,5186 kB/s
47.237.95.146,2083,TRUE,SIN,Asia Pacific,Singapore,224 ms,5167 kB/s
47.236.205.188,8443,TRUE,SIN,Asia Pacific,Singapore,223 ms,5145 kB/s
47.236.145.85,2083,TRUE,SIN,Asia Pacific,Singapore,228 ms,5115 kB/s
47.237.86.185,2083,TRUE,SIN,Asia Pacific,Singapore,228 ms,5063 kB/s
47.236.83.239,2087,TRUE,SIN,Asia Pacific,Singapore,225 ms,5058 kB/s
47.237.11.182,8443,TRUE,SIN,Asia Pacific,Singapore,237 ms,5051 kB/s
47.237.0.31,8443,TRUE,SIN,Asia Pacific,Singapore,248 ms,5041 kB/s
47.236.254.120,2096,TRUE,SIN,Asia Pacific,Singapore,229 ms,5033 kB/s
47.237.8.82,2053,TRUE,SIN,Asia Pacific,Singapore,229 ms,5016 kB/s
8.219.50.180,2087,TRUE,SIN,Asia Pacific,Singapore,225 ms,5008 kB/s
47.236.174.206,2053,TRUE,SIN,Asia Pacific,Singapore,218 ms,4996 kB/s
47.236.121.23,8443,TRUE,SIN,Asia Pacific,Singapore,236 ms,4978 kB/s
8.219.0.162,443,TRUE,SIN,Asia Pacific,Singapore,223 ms,4973 kB/s
47.236.75.113,2053,TRUE,SIN,Asia Pacific,Singapore,224 ms,4969 kB/s
8.222.237.131,2083,TRUE,SIN,Asia Pacific,Singapore,230 ms,4962 kB/s
47.237.84.173,2053,TRUE,SIN,Asia Pacific,Singapore,226 ms,4958 kB/s
47.236.174.206,2087,TRUE,SIN,Asia Pacific,Singapore,242 ms,4948 kB/s
47.236.165.25,2083,TRUE,SIN,Asia Pacific,Singapore,224 ms,4944 kB/s
47.236.172.95,2083,TRUE,SIN,Asia Pacific,Singapore,227 ms,4942 kB/s
47.237.95.156,2083,TRUE,SIN,Asia Pacific,Singapore,234 ms,4940 kB/s
8.219.0.162,2053,TRUE,SIN,Asia Pacific,Singapore,227 ms,4937 kB/s
47.236.169.15,2053,TRUE,SIN,Asia Pacific,Singapore,223 ms,4930 kB/s
47.236.158.158,8443,TRUE,SIN,Asia Pacific,Singapore,233 ms,4901 kB/s
47.236.97.90,2053,TRUE,SIN,Asia Pacific,Singapore,241 ms,4891 kB/s
47.236.253.41,2053,TRUE,SIN,Asia Pacific,Singapore,225 ms,4882 kB/s
47.236.102.102,2087,TRUE,SIN,Asia Pacific,Singapore,233 ms,4879 kB/s
47.237.100.206,2087,TRUE,SIN,Asia Pacific,Singapore,248 ms,4873 kB/s
8.219.0.162,8443,TRUE,SIN,Asia Pacific,Singapore,241 ms,4872 kB/s
47.237.83.20,2087,TRUE,SIN,Asia Pacific,Singapore,226 ms,4871 kB/s
47.237.100.206,2053,TRUE,SIN,Asia Pacific,Singapore,239 ms,4829 kB/s
47.237.84.173,8443,TRUE,SIN,Asia Pacific,Singapore,213 ms,4828 kB/s
47.236.17.193,2053,TRUE,SIN,Asia Pacific,Singapore,228 ms,4815 kB/s
47.236.118.216,2087,TRUE,SIN,Asia Pacific,Singapore,262 ms,4801 kB/s
47.236.5.223,2083,TRUE,SIN,Asia Pacific,Singapore,240 ms,4800 kB/s
47.237.86.185,8443,TRUE,SIN,Asia Pacific,Singapore,228 ms,4790 kB/s
47.237.100.206,2083,TRUE,SIN,Asia Pacific,Singapore,223 ms,4785 kB/s
47.236.5.223,2087,TRUE,SIN,Asia Pacific,Singapore,252 ms,4754 kB/s
8.219.103.65,2083,TRUE,SIN,Asia Pacific,Singapore,235 ms,4738 kB/s
47.236.10.182,2096,TRUE,SIN,Asia Pacific,Singapore,255 ms,4731 kB/s
47.236.180.51,8443,TRUE,SIN,Asia Pacific,Singapore,241 ms,4725 kB/s
47.236.166.131,2083,TRUE,SIN,Asia Pacific,Singapore,225 ms,4713 kB/s
47.237.82.15,2087,TRUE,SIN,Asia Pacific,Singapore,235 ms,4682 kB/s
47.237.83.20,2083,TRUE,SIN,Asia Pacific,Singapore,226 ms,4677 kB/s
47.236.254.120,2087,TRUE,SIN,Asia Pacific,Singapore,225 ms,4667 kB/s
47.236.9.152,8443,TRUE,SIN,Asia Pacific,Singapore,233 ms,4665 kB/s
47.237.94.140,8443,TRUE,SIN,Asia Pacific,Singapore,223 ms,4658 kB/s
47.236.169.164,8443,TRUE,SIN,Asia Pacific,Singapore,245 ms,4641 kB/s
47.236.83.239,2053,TRUE,SIN,Asia Pacific,Singapore,241 ms,4633 kB/s
47.236.9.152,2087,TRUE,SIN,Asia Pacific,Singapore,226 ms,4631 kB/s
47.236.167.231,2096,TRUE,SIN,Asia Pacific,Singapore,228 ms,4622 kB/s
47.236.145.85,2096,TRUE,SIN,Asia Pacific,Singapore,223 ms,4621 kB/s
47.236.172.95,8443,TRUE,SIN,Asia Pacific,Singapore,226 ms,4617 kB/s
47.236.237.90,8443,TRUE,SIN,Asia Pacific,Singapore,225 ms,4614 kB/s
47.236.144.196,2083,TRUE,SIN,Asia Pacific,Singapore,224 ms,4612 kB/s
47.237.95.140,2053,TRUE,SIN,Asia Pacific,Singapore,229 ms,4572 kB/s
47.76.204.76,2096,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,4568 kB/s
47.237.84.173,2096,TRUE,SIN,Asia Pacific,Singapore,232 ms,4549 kB/s
8.211.13.228,443,TRUE,FRA,Europe,Frankfurt,271 ms,4527 kB/s
47.76.204.76,2087,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,4491 kB/s
47.236.167.231,2053,TRUE,SIN,Asia Pacific,Singapore,225 ms,4488 kB/s
47.237.82.15,2053,TRUE,SIN,Asia Pacific,Singapore,244 ms,4480 kB/s
47.236.102.102,2053,TRUE,SIN,Asia Pacific,Singapore,234 ms,4472 kB/s
47.237.8.82,2083,TRUE,SIN,Asia Pacific,Singapore,254 ms,4472 kB/s
47.236.146.249,2096,TRUE,SIN,Asia Pacific,Singapore,252 ms,4461 kB/s
47.237.95.13,8443,TRUE,SIN,Asia Pacific,Singapore,217 ms,4452 kB/s
47.237.84.173,2087,TRUE,SIN,Asia Pacific,Singapore,228 ms,4441 kB/s
8.219.50.180,2096,TRUE,SIN,Asia Pacific,Singapore,223 ms,4435 kB/s
47.236.93.176,2083,TRUE,SIN,Asia Pacific,Singapore,235 ms,4435 kB/s
47.236.172.95,2053,TRUE,SIN,Asia Pacific,Singapore,228 ms,4434 kB/s
47.236.146.249,8443,TRUE,SIN,Asia Pacific,Singapore,245 ms,4418 kB/s
47.237.82.15,2083,TRUE,SIN,Asia Pacific,Singapore,245 ms,4413 kB/s
47.236.118.216,8443,TRUE,SIN,Asia Pacific,Singapore,236 ms,4405 kB/s
47.236.17.193,2096,TRUE,SIN,Asia Pacific,Singapore,236 ms,4399 kB/s
47.237.100.206,2096,TRUE,SIN,Asia Pacific,Singapore,225 ms,4398 kB/s
47.237.95.13,2053,TRUE,SIN,Asia Pacific,Singapore,221 ms,4392 kB/s
47.236.237.90,2083,TRUE,SIN,Asia Pacific,Singapore,226 ms,4355 kB/s
47.237.95.13,2096,TRUE,SIN,Asia Pacific,Singapore,224 ms,4314 kB/s
47.237.82.15,2096,TRUE,SIN,Asia Pacific,Singapore,223 ms,4297 kB/s
47.236.10.182,2083,TRUE,SIN,Asia Pacific,Singapore,243 ms,4292 kB/s
47.236.254.120,2083,TRUE,SIN,Asia Pacific,Singapore,233 ms,4289 kB/s
47.237.10.1,2053,TRUE,SIN,Asia Pacific,Singapore,228 ms,4288 kB/s
47.236.93.176,8443,TRUE,SIN,Asia Pacific,Singapore,230 ms,4272 kB/s
47.237.8.82,2087,TRUE,SIN,Asia Pacific,Singapore,236 ms,4255 kB/s
47.236.144.196,8443,TRUE,SIN,Asia Pacific,Singapore,220 ms,4246 kB/s
47.236.170.225,2096,TRUE,SIN,Asia Pacific,Singapore,228 ms,4242 kB/s
47.236.121.23,2053,TRUE,SIN,Asia Pacific,Singapore,253 ms,4239 kB/s
47.236.87.246,2087,TRUE,SIN,Asia Pacific,Singapore,259 ms,4220 kB/s
47.237.8.82,8443,TRUE,SIN,Asia Pacific,Singapore,238 ms,4219 kB/s
47.243.42.219,2096,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,4209 kB/s
47.237.14.220,2096,TRUE,SIN,Asia Pacific,Singapore,244 ms,4206 kB/s
47.236.93.176,2087,TRUE,SIN,Asia Pacific,Singapore,228 ms,4204 kB/s
47.236.169.164,2087,TRUE,SIN,Asia Pacific,Singapore,228 ms,4185 kB/s
47.236.97.90,2087,TRUE,SIN,Asia Pacific,Singapore,229 ms,4133 kB/s
47.236.158.158,2087,TRUE,SIN,Asia Pacific,Singapore,235 ms,4129 kB/s
47.236.253.41,2083,TRUE,SIN,Asia Pacific,Singapore,240 ms,4127 kB/s
47.236.169.141,2087,TRUE,SIN,Asia Pacific,Singapore,237 ms,4126 kB/s
47.236.169.141,2083,TRUE,SIN,Asia Pacific,Singapore,237 ms,4114 kB/s
47.236.145.85,2087,TRUE,SIN,Asia Pacific,Singapore,229 ms,4107 kB/s
47.237.11.182,2083,TRUE,SIN,Asia Pacific,Singapore,230 ms,4104 kB/s
47.236.146.249,2053,TRUE,SIN,Asia Pacific,Singapore,227 ms,4091 kB/s
47.236.174.206,8443,TRUE,SIN,Asia Pacific,Singapore,231 ms,4085 kB/s
47.236.10.182,8443,TRUE,SIN,Asia Pacific,Singapore,236 ms,4084 kB/s
47.236.253.41,8443,TRUE,SIN,Asia Pacific,Singapore,236 ms,4058 kB/s
47.236.10.100,2087,TRUE,SIN,Asia Pacific,Singapore,230 ms,4057 kB/s
47.237.81.112,2087,TRUE,SIN,Asia Pacific,Singapore,233 ms,4052 kB/s
47.243.42.219,8443,TRUE,HKG,Asia Pacific,Hong Kong,56 ms,4046 kB/s
47.236.167.231,8443,TRUE,SIN,Asia Pacific,Singapore,226 ms,4020 kB/s
8.219.0.162,2096,TRUE,SIN,Asia Pacific,Singapore,225 ms,4012 kB/s
8.219.103.65,2087,TRUE,SIN,Asia Pacific,Singapore,223 ms,3980 kB/s
47.236.102.102,8443,TRUE,SIN,Asia Pacific,Singapore,238 ms,3958 kB/s
47.236.102.102,2096,TRUE,SIN,Asia Pacific,Singapore,229 ms,3911 kB/s
47.237.0.31,2083,TRUE,SIN,Asia Pacific,Singapore,227 ms,3909 kB/s
47.237.81.112,2096,TRUE,SIN,Asia Pacific,Singapore,227 ms,3905 kB/s
8.219.0.162,2087,TRUE,SIN,Asia Pacific,Singapore,234 ms,3871 kB/s
47.237.11.182,2096,TRUE,SIN,Asia Pacific,Singapore,224 ms,3799 kB/s
47.236.254.120,8443,TRUE,SIN,Asia Pacific,Singapore,240 ms,3796 kB/s
47.236.149.107,2053,TRUE,SIN,Asia Pacific,Singapore,223 ms,3757 kB/s
47.236.102.102,2083,TRUE,SIN,Asia Pacific,Singapore,226 ms,3746 kB/s
47.237.86.185,2053,TRUE,SIN,Asia Pacific,Singapore,245 ms,3735 kB/s
47.236.10.100,2096,TRUE,SIN,Asia Pacific,Singapore,220 ms,3673 kB/s
47.236.167.231,2087,TRUE,SIN,Asia Pacific,Singapore,226 ms,3628 kB/s
8.219.240.160,8443,TRUE,SIN,Asia Pacific,Singapore,229 ms,3621 kB/s
8.209.100.184,443,TRUE,FRA,Europe,Frankfurt,268 ms,3621 kB/s
47.236.123.133,2087,TRUE,SIN,Asia Pacific,Singapore,232 ms,3612 kB/s
47.236.104.11,2087,TRUE,SIN,Asia Pacific,Singapore,234 ms,3597 kB/s
47.237.92.26,2083,TRUE,SIN,Asia Pacific,Singapore,220 ms,3592 kB/s
47.76.159.146,2083,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,3570 kB/s
47.237.94.140,2083,TRUE,SIN,Asia Pacific,Singapore,247 ms,3567 kB/s
47.237.94.140,2096,TRUE,SIN,Asia Pacific,Singapore,239 ms,3546 kB/s
47.236.145.85,443,TRUE,SIN,Asia Pacific,Singapore,225 ms,3529 kB/s
47.236.237.90,2096,TRUE,SIN,Asia Pacific,Singapore,240 ms,3528 kB/s
47.236.146.249,2083,TRUE,SIN,Asia Pacific,Singapore,228 ms,3525 kB/s
47.236.253.41,2087,TRUE,SIN,Asia Pacific,Singapore,231 ms,3476 kB/s
47.237.0.31,2087,TRUE,SIN,Asia Pacific,Singapore,240 ms,3465 kB/s
47.236.180.51,2083,TRUE,SIN,Asia Pacific,Singapore,222 ms,3444 kB/s
47.236.174.206,2096,TRUE,SIN,Asia Pacific,Singapore,244 ms,3442 kB/s
47.237.95.146,8443,TRUE,SIN,Asia Pacific,Singapore,226 ms,3372 kB/s
47.236.146.249,2087,TRUE,SIN,Asia Pacific,Singapore,230 ms,3362 kB/s
47.236.202.91,2087,TRUE,SIN,Asia Pacific,Singapore,229 ms,3350 kB/s
47.236.145.85,8443,TRUE,SIN,Asia Pacific,Singapore,246 ms,3338 kB/s
47.237.11.182,2087,TRUE,SIN,Asia Pacific,Singapore,231 ms,3319 kB/s
47.236.125.62,2096,TRUE,NRT,Asia Pacific,Tokyo,289 ms,3304 kB/s
47.236.150.13,2053,TRUE,SIN,Asia Pacific,Singapore,223 ms,3264 kB/s
47.237.10.1,2083,TRUE,SIN,Asia Pacific,Singapore,241 ms,3219 kB/s
47.236.10.100,8443,TRUE,SIN,Asia Pacific,Singapore,231 ms,3217 kB/s
47.237.86.185,2096,TRUE,SIN,Asia Pacific,Singapore,217 ms,3158 kB/s
8.219.240.160,2053,TRUE,SIN,Asia Pacific,Singapore,232 ms,3138 kB/s
47.237.95.156,2087,TRUE,SIN,Asia Pacific,Singapore,242 ms,3065 kB/s
47.236.202.91,2053,TRUE,SIN,Asia Pacific,Singapore,224 ms,2982 kB/s
